Facility,Address,Latitude,Longitude,Type
CCP Allegheny,105 Gamma Drive,40.49479,-79.871982,Primary Care
West Penn Medical Associates,105 Hill Avenue,40.541322,-79.802771,Primary Care
Keystone Anesthesia Consultants LTD,1050 Bower Hill,40.37791,-80.068046,Primary Care
UPP Department of Surgery,1050 Bower Hill Road,40.37791,-80.068046,Primary Care
MedExpress Urgent Care PC Pennsylvania,10632 Perry Highway,40.613439,-80.053004,Primary Care
Mamatas Ragoor Primary Care Associates,10700 Frankstown Road,40.460751,-79.840492,Primary Care
UPP General Internal Medicine,108 Penn Plaza,40.405694,-79.832373,Primary Care
Bahl and Bahl Med Assoc,10922 Frankstown Road,40.464416,-79.839122,Primary Care
Jules Kann and Malcolm Harris MD,1099 North Avenue,40.491842,-79.974099,Primary Care
Chris T ODonnell MD PC,1099 Ohio River Boulevard,40.532848,-80.175563,Primary Care
Gateway Medical Group UPMC,1100 Washington Avenue,40.398057,-80.084391,Primary Care
HVMG Fifth Avenue Medical Associates,1101 Fifth Avenue,40.517045,-80.162384,Primary Care
"Ke, Katherine C MD PC",1106 Ohio River Boulevard,40.531159,-80.174347,Primary Care
RFP Millvale UPMC,111 Sheridan Street,40.479001,-79.971013,Primary Care
University Ped Assoc Primary Care,112 Penn Avenue,40.405237,-79.826419,Primary Care
University of Pittsburgh Physicians,112 Washington Place,40.439355,-79.992153,Primary Care
Minute Clinic Diagnostic of PA LLC,11240 Perry Highway,40.62134,-80.053811,Primary Care
"Gorelik, Mark MD",11279 Perry Highway,40.622213,-80.054661,Primary Care
Wexford Medical Practice,1130 Perry Highway,40.547834,-80.035657,Primary Care
Absolute Primary Care UPMC,11360 Perry Highway Maple Row,40.617727,-80.059407,Primary Care
Elizabeth Ann Ruberg PC,1136L Thorn Run Road,40.505906,-80.209509,Primary Care
Bentz Grob Scheri and Woodburn Family Medicine,1140 Perry Highway,40.549307,-80.036086,Primary Care
Preferred Primary Care Physicians,1145 Bower Hill Road,40.374612,-80.070102,Primary Care
Khan Medical Assoc LLC,116 Daugherty Drive,40.435243,-79.754432,Primary Care
"Gowda, Anu MD",11618 Frankstown Rd,40.465009,-79.827755,Primary Care
"Garrick Drago, Monica G MD",11676 Perry Highway,40.627185,-80.054699,Primary Care
Preferred Primary Care Physicians,1168 Washington Pike,40.36904,-80.101294,Primary Care
Primary Care Health Services Group Practice,117 North Negley Avenue,40.463712,-79.930565,Primary Care
Univ Rheumatology Svc,117 VIP Drive,40.619101,-80.094145,Primary Care
UPMC Keystone Primary Care Dr Shetty,118 Fox Road,40.434943,-79.760546,Primary Care
Sewickley Valley Pediatric and Adolescent Medicine PC,119 VIP Drive,40.619921,-80.094324,Primary Care
HVMG The Heart and Vascular Center Leetsdale,12 Quaker Valley Shopping Center,40.567165,-80.212116,Primary Care
"Kairis, Edwin J, MD",120 5th AVenue,40.441888,-80.003443,Primary Care
"Owens, Michael R MD",120 Fifth Avenue,40.441888,-80.003443,Primary Care
"Majewski, Philip, M, MD",120 Fifth Avenue Place,40.441888,-80.003443,Primary Care
Concentra Urgent Care,120 Lytton Avenue,40.446371,-79.954946,Primary Care
University Cardiology Service,120 Lytton Avenue M060,40.446371,-79.954946,Primary Care
Prime Medical Group PCG1-Chauhan Assocs,1200 Brooks Lane,40.315209,-79.937566,Primary Care
Mercy Behavioral Health,1200 Reedsdale Street,40.448454,-80.019976,Primary Care
"Linder, Paul G MD",1201 Broughton Road,40.330347,-79.988739,Primary Care
"Purpura, Lawrence J MD",1206 Brookline Boulevard,40.391958,-80.012798,Primary Care
Hanzlik Wang DeFrances Associates UPMC,121 Freeport Rd,40.491582,-79.866871,Primary Care
Daljit Singh MD Associates,121 Freeport Road,40.671676,-79.689041,Primary Care
Geriatric Care Center,1215 Hulton Road,40.526908,-79.829081,Primary Care
CCP Monroeville Pediatric Assocs,1220 Lincoln Highway,40.351573,-79.822201,Primary Care
McGinnis Thoracic and Cardiovascular Associates,12311 Perry Highway,40.635686,-80.063552,Primary Care
UPP Department of Surgery,125 Daugherty Drive,40.436132,-79.755593,Primary Care
"Pfoff, Robert, M, MD",125 Warren Road,40.658365,-80.073978,Primary Care
HVMG Billing,1254 Route 30,40.630862,-79.826371,Primary Care
Teladoc Physicians PA,126 Elmhurst Drive,40.530186,-80.265878,Primary Care
Jules Kann and Malcolm Harris MD,128 North Craig Street,40.447971,-79.948795,Primary Care
Univ Ear Nose Throat Specialists,1300 Oxford Drive,40.343066,-80.048443,Primary Care
Emergency Medicine Physicians of Alle Kiski,1301 Carlisle Street,40.618767,-79.736921,Primary Care
Renal and Hypertension Consultants,1303 Lincoln Way,40.351337,-79.820778,Primary Care
Allegheny Orthopaedic Associates,1307 Federal Street,40.457189,-80.007726,Primary Care
Ohio Valley Professional Services,1308 Fifth Avenue,40.515387,-80.159378,Primary Care
Primary Care Group 7 JRMC Internal Medicine,1310 Hoffman Boulevard,40.383319,-79.869013,Primary Care
General Medical Practitioners PC,1312 Federal Street,40.457088,-80.006828,Primary Care
Health First Medical Assoc UPMC,1318 Fifth Avenue,40.351926,-79.85137,Primary Care
University Gastroenterology,1320 Fifth Avenue,40.352034,-79.851342,Primary Care
Allegheny Orthopaedic Associates,133 Church Hill Road,40.442562,-80.148859,Primary Care
Allegheny Center For Digestive Health,133 Churchill Road,40.472038,-80.062892,Primary Care
"Nelson, Bruce N MD",135 Cumberland Road,40.572418,-80.035775,Primary Care
Pittsburgh Medical Associates,1350 Locust Street,40.436674,-79.986263,Primary Care
SMA DeerLakes PC,1360 Old Freeport Road,40.488238,-79.874424,Primary Care
Pediatric Alliance Chartiers McMurray Div,1370 Washington Pike,40.378832,-80.095322,Primary Care
PPCP McMurray Brookline,140 Curry Hollow Road,40.339121,-79.968609,Primary Care
University Neonatology Associates,1400 Locust Street,40.436137,-79.985285,Primary Care
Rehabilitation Medicine,1405 Shady Avenue,40.443209,-79.919456,Primary Care
Ladani Medical Associates LLC,142 South Twentieth Street,40.426506,-79.978034,Primary Care
"Seth, Prabhat MD",1430 Lincoln Way,40.349717,-79.819523,Primary Care
Family Medicine Assoc Ltd,1432 Lincoln Way,40.349533,-79.819291,Primary Care
Alliance Cardiology UPMC,1433 Fawcett Avenue,40.34917,-79.819564,Primary Care
"Tenenouser, Barry MD",146 North Bellefield Avenue,40.447838,-79.952131,Primary Care
Mercy Behavioral Health,149 Monastery Avenue,40.429303,-79.972424,Primary Care
Concentra Urgent Care,15 Freeport Road,40.492684,-79.909096,Primary Care
UPMC McKeesport Internal Medicine Ctr,1500 5th Avenue,40.351343,-79.849457,Primary Care
UPP General Internal Medicine,1500 Fifth Avenue,40.351343,-79.849457,Primary Care
"Carmen, Thomas F MD",1500 Village Run Road,40.633555,-80.057795,Primary Care
University Cardiology Service,1501 Locust Street,40.436846,-79.985205,Primary Care
Sto Rox Neighborhood Hlth Council Inc PCP,151 Ruth Street,40.423008,-80.004718,Primary Care
University Ped Assoc Primary Care,1515 Locust Street,40.437097,-79.984539,Primary Care
Pittsburgh Family Practice Assoc LLC,1517 Forbes Avenue,40.437774,-79.984411,Primary Care
MedExpress Urgent Care PC Pennsylvania,1535 Washington Road,40.356429,-80.049771,Primary Care
"Edwards, Robert G MD PC",1539 Lincoln Avenue,40.469657,-79.894978,Primary Care
University of Pittsburgh Physicians,155 North Craig Street,40.449079,-79.950642,Primary Care
Pediatric Alliance St Clair Div,1580 McLaughlin Run Road,40.34659,-80.083198,Primary Care
Teredesai McCann Associates PC,1597 Washington Pike,40.382618,-80.095126,Primary Care
"Haretos, John T., MD",160 North Craig Street,40.449541,-79.950146,Primary Care
CCP Moon and Wexford,1600 Coraopolis Heights Road,40.499854,-80.20746,Primary Care
CCP Allegheny,1600 Pacific Avenue,40.619481,-79.726066,Primary Care
Concentra Urgent Care,1600 West Carson Street,40.442085,-80.021313,Primary Care
Health Center Ophthalmology Inc,1603 Carmody Court,40.612136,-80.097913,Primary Care
Oncology Hematology Association,1604 Burtner Road,40.631047,-79.727281,Primary Care
Health Center Ophthalmology Inc,1605 Lincoln Way,40.348001,-79.816737,Primary Care
University Gastroenterology,1606 Carmody Court,40.613085,-80.097033,Primary Care
"Serbin, Scott R MD",1614 Country Club Drive,40.5643,-80.080947,Primary Care
Mohan M Patel MD,1616 Pacific Avenue,40.623656,-79.724259,Primary Care
Premier Medical  Associates Family  Practice,1620 Golden Mile Highway,40.435247,-79.713422,Primary Care
Alle Kiski Medical Associates,1621 C Union Avenue,40.621447,-79.726132,Primary Care
GMA Heck and Assoc Medical Practice,1622 Lowrie Street,40.463371,-79.983151,Primary Care
McGinnis Thoracic and Cardiovascular Associates,1624 Pacific Avenue,40.623628,-79.724227,Primary Care
John E Love Family Practice,1626 Potomac Avenue,40.398053,-80.036467,Primary Care
"Kumar, Rakesh, MD",1629 Union Avenue,40.621771,-79.725822,Primary Care
University Cardiology Service,1668 Lincoln Way,40.345562,-79.816332,Primary Care
Medi Help,1691 Washington Road,40.351409,-80.050204,Primary Care
Individualized Advanced Medical Center of Pittsburgh,17 Brilliant Avenue,40.489416,-79.90132,Primary Care
Community Family Practice UPMC,1713 Ardmore Boulevard,40.426973,-79.862359,Primary Care
Allegheny Valley Internal Medicine,1719 Union Avenue,40.622488,-79.724309,Primary Care
Mercy Behavioral Health,1722 Brownsville Road,40.397601,-79.988585,Primary Care
Handelsman Family Practice LLC,1723 Ardmore Boulevard,40.42605,-79.861607,Primary Care
Jalit Tuchinda MD PC,1726 East Carson Street,40.428593,-79.981118,Primary Care
RFP Morningside UPMC,1748 Jancey Street,40.485599,-79.926402,Primary Care
Freedom Healthcare Services LLC,1780 Taper Drive,40.35317,-80.080707,Primary Care
"Ryoo, In O MD",1789 Pine Hollow Road,40.4774,-80.102719,Primary Care
UPMC Keystone Primary Care Drs Ou and Tong,1789 South Braddock Avenue,40.424346,-79.887357,Primary Care
Circulatory Center of PA Inc,180 Fort Couch Road,40.346228,-80.053662,Primary Care
"Chen, Anne, MD",180 Imperial Plaza Drive,40.441948,-80.235178,Primary Care
Oncology Hematology Association,1800 Pine Hollow Road,40.477709,-80.102656,Primary Care
Petz and Associates UPMC,1800 Union Avenue,40.623481,-79.722994,Primary Care
South Hills Family Medicine LLC,1800 West Street,40.399882,-79.905737,Primary Care
Lincoln Way Internal Medicine,1801 Lincoln Way,40.347275,-79.816717,Primary Care
"Waligura, R Curtis DO",1801 West Street,40.400076,-79.904818,Primary Care
"Udekwu, Catherine MD",1811 Boulevard of the Allies,40.440368,-79.983611,Primary Care
Primary Care Health Services Group Practice,1835 Centre Avenue,40.443111,-79.98187,Primary Care
UPMC Emergency Medicine Inc,1870 Broadview Boulevard,40.623963,-79.722566,Primary Care
Raja Chakrapani MD Rc Med Assoc,1872 Homeville Road,40.373678,-79.873734,Primary Care
Sterling Pediatrics LLC,1900 Murray Ave,40.435811,-79.923142,Primary Care
Addiction and Recovery Health Services,1900 Murray Avenue,40.435811,-79.923142,Primary Care
Hematology Oncology Association,1907 Lebanon Church Road,40.348525,-79.950318,Primary Care
Preferred Primary Care Physicians,1910 Cochran Road,40.393296,-80.065665,Primary Care
Premier Med Assoc Int Medicine,1916 Lincoln Highway,40.366816,-79.7787,Primary Care
CCP South Hills Ped Assoc,1925 Route 51 South,40.291552,-79.912612,Primary Care
Greater Pittsburgh Med Assoc UPMC,193 43rd Street,40.470851,-79.960462,Primary Care
Mercy Behavioral Health,1945 Fifth Avenue,40.438427,-79.977878,Primary Care
White Oak Medical Center LLC,1949 Lincoln Way,40.347275,-79.816717,Primary Care
"Ditoppa, Louis A DO",1978 Lincoln Way,40.338697,-79.81021,Primary Care
MedExpress Urgent Care PC Pennsylvania,1984 Greentree Road,40.394572,-80.067031,Primary Care
UPMC Emergency Medicine Inc,2 Hot Metal Street,40.426063,-79.964328,Primary Care
"Danaie, Nosratollah MD",20 Bailey Avenue,40.426756,-80.004793,Primary Care
"Cipriani, Alphonse J MD",20 Cedar Boulevard,40.381767,-80.045298,Primary Care
Providence Point,200 Adams Avenue,40.376902,-80.086217,Primary Care
University Geriatric Medicine Service,200 Delafield Road,40.489901,-79.894796,Primary Care
Pittsburgh Cardiovascular Institute,200 James Place,40.427106,-79.754704,Primary Care
University Critical Care,200 Lothrop Sreet,40.442561,-79.960983,Primary Care
University Gastroenterology,200 Lothrop Street,40.442561,-79.960983,Primary Care
Univ Endocrinology Svc,200 Medical Arts Building,40.49027,-79.895713,Primary Care
Khan Medical Assoc LLC,200 Penn Avenue,40.446025,-79.89268,Primary Care
Allegheny Medical PC,2000 Cliff Mine Road,40.456951,-80.191975,Primary Care
Macisaac Family Medicine LLC,2000 Corporate Drive,40.609559,-80.088934,Primary Care
University Anesthesiology,2000 Mary Street,40.425591,-79.977756,Primary Care
Preferred Primary Care Physicians,2000 Oxford Drive,40.344057,-80.052552,Primary Care
Imaging Assoc Greater Pittsburgh,2001 Lincoln Way,40.337364,-79.805396,Primary Care
Community Care Plus,2011 Kinvara Drive,40.535676,-80.009807,Primary Care
Seetha Chandra MD UPMC,2020 Ardmore Boulevard,40.421251,-79.853621,Primary Care
Raja Chakrapani MD Rc Med Assoc,2020 Monongahela,40.419858,-79.889456,Primary Care
Allegheny Center For Digestive Health,2027 Lebanon Church Road,40.348529,-79.949507,Primary Care
Health Center Ophthalmology Inc,203 Lothrop Street,40.437926,-79.955642,Primary Care
"D Eramo, Linda DO",203 Nottingham Drive,40.494016,-80.172297,Primary Care
Partners in Nephrology and Endocrinology,2030 Ardmore Boulevard,40.420675,-79.852455,Primary Care
"Ryoo, In O MD",205 Commerce Drive,40.459113,-80.196255,Primary Care
CCP Moon and Wexford,205 Millers Run Road,40.358018,-80.122857,Primary Care
Jose B Caballe MD UPMC,207 West 7th Avenue,40.405507,-79.914409,Primary Care
Alliance Cardiology UPMC,21 Yost Boulevard,40.413984,-79.847126,Primary Care
Adler and Krause Card Med Assoc,21 Yost at Ardmore Boulevard,40.413984,-79.847126,Primary Care
McCollum Corporation,2100 Jane Street,40.42648,-79.976796,Primary Care
"Chengappa, Palecanda P MD",2100 Jane Street South,40.42648,-79.976796,Primary Care
"Ahmed, Adiba S MD",2101 Greentree Road,40.390563,-80.072422,Primary Care
"Hodges, Allen R, MD",211 North Whitfield Street,40.463133,-79.925317,Primary Care
"Iannuzzi, C C MD PC",2115 Noble Street,40.431319,-79.88688,Primary Care
Premier Medical  Associates Family  Practice,2140 Ardmore Boulevard,40.418277,-79.84942,Primary Care
Daniel Steiner MD UPMC,215 Allegheny Avenue,40.514488,-79.844005,Primary Care
Prime Care Int Medc Assoc PC,220 East Eighth Avenue,40.407209,-79.909937,Primary Care
Emmanuel Family Practice Associates,2204 06 Murray Avenue,40.432195,-79.923321,Primary Care
"Fletcher, Douglas D MD",221 Penn Avenue,40.446188,-79.892247,Primary Care
SMA DeerLakes PC,221 Russelton Dorseyville Road,40.60392,-79.86095,Primary Care
SMA DeerLakes PC,222 Allegheny River Boulevard,40.514735,-79.843097,Primary Care
"Brandy, Dominic A MD",2275 Swallow Hill Rd,40.389166,-80.072547,Primary Care
Scott Medical Health Center MD Group,2275 Swallow Hill Road,40.389166,-80.072547,Primary Care
University Emergency Physicians Inc,230 McKee Place,40.439029,-79.959155,Primary Care
Rehabilitation Medicine,2300 Jane Street,40.425724,-79.972597,Primary Care
UPMC Emergency Medicine Inc,2300 McKee Place,40.440361,-79.960201,Primary Care
Rehabilitation Medicine,2310 Jane Street,40.42646,-79.972555,Primary Care
UPMC McKeesport Latterman Fam Hlth Ctr,2347 5th Avenue,40.354556,-79.837219,Primary Care
Vitas Solutions Inc,235 Alpha Drive,40.491877,-79.872062,Primary Care
Preferred Primary Care Physicians,2375 Greentree Road,40.389714,-80.080622,Primary Care
UPMC Family Medicine South,2397 Mountain View Drive,40.344616,-79.945876,Primary Care
Pediatrics South Inc,240 Mount Lebanon Boulevard,40.367907,-80.037588,Primary Care
Arnold Family Practice,2400 Ardmore Boulevard,40.415079,-79.847561,Primary Care
Franklin Park Family Practice UPMC,2400 Corporate Drive,40.610267,-80.087627,Primary Care
"Zelonis, Thomas, G., DO",2403 S Park Rd,40.329654,-80.022528,Primary Care
"Zelonis,  Lawrence J, DO",2403 South Park Road,40.329654,-80.022528,Primary Care
Ladani Medical Associates LLC,2409 Brownsville Road,40.387164,-79.982739,Primary Care
Prime Care Medical Associates UPMC,241-251 Freeport Road,40.489803,-79.903786,Primary Care
Family Practice Medical Associates South,2414 Lytle Road,40.334084,-80.025248,Primary Care
Mercy Behavioral Health,249 South 9th Street,40.430322,-79.989072,Primary Care
Pittsburgh Cardiovascular Institute,2490 Mosside Boulevard,40.424318,-79.754117,Primary Care
UPMC Emergency Medicine Inc,25 Heckel Road,40.472755,-80.090742,Primary Care
Ohio Valley Professional Services,25 Heckle Road,40.472755,-80.090742,Primary Care
Dobkin and Riccelli Associates,250 Mount Lebanon Boulevard,40.36799,-80.036804,Primary Care
Behm Family Practice UPMC,2500 Brooktree Road,40.615332,-80.057881,Primary Care
Banksville Medical P C,2508 Banksville Avenue,40.407089,-80.034973,Primary Care
Teladoc Physicians PA,252 Arden Road,40.391118,-80.049063,Primary Care
Penn Pediatrics LLC,2550 Mosside Blvd,40.427018,-79.752606,Primary Care
Allegheny Center For Digestive Health,2550 Mosside Boulevard,40.427018,-79.752606,Primary Care
East Suburban Ped Assoc LTD,2566 Haymaker Road,40.42797,-79.748282,Primary Care
Emergency Medicine Physicians of Allegheny,2570 Haymaker Road,40.428975,-79.748091,Primary Care
Hematology Oncology Association,2571 Mosside Boulevard,40.428315,-79.752766,Primary Care
Allegheny Orthopaedic Associates,2580 Haymaker Road,40.427892,-79.748081,Primary Care
Russellton Medical Group UPMC,2585 Freeport Road,40.536499,-79.843125,Primary Care
"Moretti, James M MD",2589 Washington Road,40.314155,-80.089085,Primary Care
Univ Endocrinology Svc,259 Mount Nebo Pointe Drive,40.534891,-80.068198,Primary Care
UPMC Squirrel Hill,259 Mt Nebo Pointe Drive,40.534891,-80.068198,Primary Care
Heritage Valley Associates in Family Medicine,2591 Wexford-Bayne Road,40.612924,-80.102696,Primary Care
"Kross, Timothy MD",2593 Wexford Bayne Road,40.613324,-80.102034,Primary Care
Univ Ear Nose Throat Specialists,2599 Wexford Bayne Road,40.614271,-80.100843,Primary Care
MedExpress Urgent Care PC Pennsylvania,2600 Old Washington Road,40.312611,-80.089602,Primary Care
"Barnett, Alan J, MD",2627 Murray Avenue,40.429072,-79.923857,Primary Care
Scott Medical Health Center MD Group,2630 Brandt School Road,40.615584,-80.092988,Primary Care
MedExpress Urgent Care PC Pennsylvania,2644 Mosside Boulevard,40.431835,-79.750547,Primary Care
Partners in Nephrology and Endocrinology,2690 Monroeville Boulevard,40.435479,-79.780701,Primary Care
Ladani Medical Associates LLC,27 Heckel Road,40.472389,-80.091189,Primary Care
"Waligura, R Curtis DO",2709 ONeil Boulevard,40.353269,-79.825433,Primary Care
"Chen, Anne, MD",2715 Brownsville Road,40.38405,-79.977365,Primary Care
UPP General Internal Medicine,2775 Mosside Boulevard,40.436561,-79.760197,Primary Care
CCP Monroeville,2790 Mosside Boulevard,40.437541,-79.75748,Primary Care
Minute Clinic Diagnostic of PA LLC,2860 Wildwood Road Extension,40.58983,-79.946824,Primary Care
Pittsburgh Medical Associates PC,2891 Banksville Road,40.40323,-80.040077,Primary Care
Shabbir Lakdawala MD PC,2912 Glenmore Avenue,40.39565,-80.03522,Primary Care
Lindenbaum Perryman and Assocs UPMC,2920 West Liberty Avenue,40.394808,-80.03498,Primary Care
Circulatory Center of PA Inc,3 PPG Place,40.4401,-80.002703,Primary Care
"Iyer, Vish MD PC",30 High Street,40.497758,-79.945666,Primary Care
Mt Lebanon Internal Medicine Division,300 Cedar Blvd,40.380283,-80.052889,Primary Care
Caring Hands Pediatrics PC,300 Cedar Ridge Drive,40.447419,-80.107761,Primary Care
Circulatory Center of PA Inc,300 Chapel Harbor Drive,40.485566,-79.882392,Primary Care
PPCP Fleet Street,300 Fleet St,40.421105,-80.0483,Primary Care
Bell Froman Orsini and Assoc,300 Fleet Street,40.421105,-80.0483,Primary Care
University Gastroenterology,300 Halket Street,40.436889,-79.9607,Primary Care
HVMG West Allegheny Healthcare Svcs,300 Penn Lincoln Drive,40.442187,-80.236293,Primary Care
Primary Care Health Services Group Practice,300 Rankin Boulevard,40.41199,-79.881091,Primary Care
Elizabeth Township Family Medicine UPMC,300 Scenery Drive,40.279434,-79.837007,Primary Care
"Gursky, Andrew E MD",300 Weyman Plaza,40.36044,-79.999838,Primary Care
"Adams, Rocco J., MD",3000 Brownsville Rd,40.381078,-79.976429,Primary Care
Lindenbaum Perryman and Assocs UPMC,3000 Brownsville Road,40.381078,-79.976429,Primary Care
UPP Department of Surgery,3000 Stonewood Drive,40.642253,-80.064689,Primary Care
"Kupfer, Samuel MD",3001 Jacks Run Road,40.344759,-79.798548,Primary Care
Bonacorsi Brown and Johnson Primary Care,3005 Banksville Road,40.401691,-80.041819,Primary Care
Allegheny Center For Digestive Health,301 First Avenue,40.600195,-79.752558,Primary Care
Heritage Valley Pediatrics Inc,301 Ohio River Boulevard,40.545894,-80.194586,Primary Care
Health Center Ophthalmology Inc,3021 Jacks Run Road,40.34489,-79.797421,Primary Care
MedExpress Urgent Care PC Pennsylvania,3024 Washington Pike,40.353281,-80.115383,Primary Care
MedExpress Urgent Care PC Pennsylvania,303 East Tenth Avenue,40.605459,-79.756208,Primary Care
Partners in Nephrology and Endocrinology,3063 Freeport Road,40.644151,-79.710483,Primary Care
Pittsburgh Internal Med Assoc UPMC,3089 Sussex Avenue,40.383771,-80.014178,Primary Care
Smithfield Medical,309 Smithfield Street,40.438508,-79.999956,Primary Care
University Geriatric Medicine Service,310 Fisk Street,40.465817,-79.958025,Primary Care
University Emergency Physicians Inc,311 South Craig Street,40.445452,-79.948526,Primary Care
Mercy Behavioral Health,315 South 9th Street,40.430416,-79.989063,Primary Care
Freedom Healthcare Services LLC,316 Station Street,40.358595,-80.113676,Primary Care
Hilltop Community Healthcare Center PCP,317 Climax Street,40.420111,-80.001958,Primary Care
Alle Kiski Medical Associates,317 First Avenue,40.600488,-79.751856,Primary Care
McGinnis Thoracic and Cardiovascular Associates,320 East North Avenue,40.45701,-80.003724,Primary Care
Allegheny Hospital Medicine Specialists,320 East North Street,40.45701,-80.003724,Primary Care
AGH Internal Medicine,320 Guys Run Road,40.536213,-79.849228,Primary Care
University of Pittsburgh Physicians,3200 South Water Street,40.424676,-79.959603,Primary Care
University Cardiology Service,3212 Main Street,40.387507,-79.902632,Primary Care
Health Associates of Western Pennsylvania PC,324 Rodi Road,40.460033,-79.823973,Primary Care
"Rudolph, Joseph P MD",330 Curry Hollow Rd,40.337521,-79.976872,Primary Care
Avenue to Wellness LLC,330 East Eighth Avenue,40.408316,-79.907921,Primary Care
Mercy Behavioral Health,330 South 9th Street,40.430273,-79.9904,Primary Care
The Primary Care Place,333 Allegheny Avenue,40.515893,-79.843837,Primary Care
"Choi, Sean H MD",333 Lincoln Hwy,40.38066,-79.810557,Primary Care
University of Pittsburgh Physicians,333 North Braddock Avenue,40.449748,-79.893734,Primary Care
UPP Department of Surgery,3380 Boulevard of the Allies,40.435254,-79.958319,Primary Care
Univ Rheumatology Svc,339 6th Avenue,40.441941,-80.001793,Primary Care
Margolis Rheumatology UPMC,339 Sixth Ave,40.442001,-79.998223,Primary Care
UPMC Downtown,339 Sixth Avenue,40.442001,-79.998223,Primary Care
Pediatric Alliance Fox Chapel Division,3394 Saxonburg Boulevard,40.548897,-79.914056,Primary Care
Hussaini Medical Associates,340 Lincoln Avenue,40.493897,-80.051611,Primary Care
Preferred Primary Care Physicians,3400 South Park Road,40.321783,-80.057607,Primary Care
Univ Nephrology Service,3420 Fifth Avenue,40.439501,-79.961089,Primary Care
Health Center Associates UPMC,3424 William Penn Highway,40.443074,-79.232696,Primary Care
MedExpress Urgent Care PC Pennsylvania,3433 William Penn Highway,40.429344,-79.812791,Primary Care
Suburban East Medical Center UPMC,3436 William Penn Highway,40.429028,-79.812828,Primary Care
UPP General Internal Medicine,3459 5th Avenue,40.440867,-79.96177,Primary Care
Univ Oncology Service,3459 Fifth Avenue,40.440867,-79.96177,Primary Care
University of Pittsburgh Physicians,3459 Fifth Avenue North,40.437926,-79.955642,Primary Care
